,QUERY,month,day of the month,DAYSAFTERDBSTART,hour,minute,QUERYID,TIMEID,ANONID,MINUTESAFTERMIDNIGHT
388,mantis v.s mantis,may      ,27,87,1,31,4083238,1446151,163228,91
389,video of aishwarya rai on oprah,may      ,12,72,19,10,4085616,1790750,262376,1150
390,renne toney,may      ,27,87,21,21,4084326,1556548,71658,1281
391,renne toney,may      ,27,87,21,21,4084326,3359135,140341,1281
392,renne toney,may      ,27,87,21,21,4084326,4388203,140341,1281
393,sex doll sanwich,march    ,11,10,1,10,4089305,5738248,50179,70
394,marvin tikvah videos,may      ,25,85,13,19,4089203,2243586,559870,799
395,myspace tube,april    ,3,33,18,17,4090907,6483737,77105,1097
396,colombian ass,march    ,4,3,6,32,4093633,6713864,477952,392
397,x-men 3 tv trailer,march    ,5,4,23,52,4094792,3320820,43609,1432
398,x-men 3 tv trailer,march    ,5,4,23,52,4094792,3320820,43609,1432
399,sexy women,march    ,13,12,19,51,4098123,6367309,205442,1191
400,vw commercial unpimp auto,march    ,31,30,18,37,4110734,6067316,163124,1117
401,the saurus hip hop,april    ,25,55,18,30,4115106,1204880,218868,1110
402,buffiethebody.com,may      ,13,73,1,53,4118170,777633,365574,113
403,tell me when to go,april    ,3,33,3,14,4129687,5539454,94779,194
404,bangkok blogs gay,may      ,16,76,18,2,4128991,2981466,344896,1082
405,myspace video hed pe represent,april    ,17,47,18,13,4154190,812244,60000,1093
406,my videos,may      ,13,73,11,3,4162459,869409,335805,663
407,my videos,may      ,13,73,11,3,4162459,3262046,335805,663
408,sakusasu,april    ,10,40,10,22,4161852,3927490,606072,622
409,maple story thanatos,april    ,5,35,15,36,4165222,2929479,71369,936
410,fantasy perfumes,may      ,23,83,0,32,4164305,1494746,174949,32
411,acrobatic sport show,may      ,24,84,12,27,4167389,1036645,486263,747
412,if you blood,april    ,16,46,23,52,4171943,5745300,298915,1432
413,if you blood,april    ,16,46,23,52,4171943,5745300,298915,1432
414,if you blood,april    ,16,46,23,52,4171943,414921,298915,1432
415,nike soccer comercial ronaldinho,march    ,11,10,14,30,4192502,409322,614610,870
416,tribeca film festival and alan rickman,april    ,22,52,23,46,4198261,2122064,103485,1426
417,the number 12 looks like you like a cat music video,april    ,2,32,3,19,4197889,5752386,163699,199
418,myspace mothers day,march    ,12,11,23,11,4202096,5634367,386249,1391
419,monkey smells own butt,april    ,11,41,13,18,4205909,5505820,517754,798
420,i will be another with a bullet cock it and pull it funny clip song,may      ,16,76,13,27,4204342,6815670,169830,807
421,rod maxwell,march    ,31,30,11,51,4219317,5898965,74250,711
422,numa numa song uss enterprise,april    ,4,34,14,18,4221623,1402597,276390,858
423,yotube.com,march    ,29,28,13,29,4221068,1154080,609580,809
424,watch one shining moment,april    ,17,47,9,10,4218634,3049913,526786,550
425,stuffed camel spiders,may      ,22,82,8,16,4218869,5109968,419989,496
426,chris parnell rap snl,april    ,18,48,2,22,4223890,851340,510127,142
427,99 luftballoons video,may      ,13,73,14,3,4220477,2739339,203034,843
428,women outdoors,may      ,20,80,19,45,4227613,3766045,421771,1185
429,shinohara tomoe,may      ,9,69,2,34,4236975,5405154,310647,154
430,killa season 2,march    ,12,11,12,36,4235827,3975764,433458,756
431,ashley joelle,march    ,18,17,18,6,4248731,3349917,614171,1086
432,goodbye uruguay gaby zeballos,april    ,29,59,4,27,4250648,3886970,378441,267
433,pretty feet,march    ,30,29,2,18,4268076,1572353,477673,138
434,what rhymes with kimmy,may      ,23,83,21,58,4268516,967851,392101,1318
435,toe sucking,march    ,9,8,13,38,4271748,3706559,518058,818
436,tracy ullman video;they don't know,april    ,14,44,10,35,4270864,3874148,526985,635
437,ghost footage,april    ,4,34,17,17,4277117,1323370,306180,1037
438,u tube.com,may      ,3,63,2,27,4284751,4094903,148874,147
439,camp katrina,april    ,2,32,1,20,4289159,5499867,9363,80
440,twinktime.com,march    ,19,18,5,44,4295213,5870891,167023,344
441,wwe wrestling bloopers,march    ,17,16,14,39,4298274,6423629,222737,879
442,jerez zacatecas,april    ,17,47,20,4,4305915,64413,166068,1204
443,youube.com,may      ,13,73,0,10,4305119,2081775,213711,10
444,zo23,april    ,28,58,20,28,4318346,1224285,466912,1228
445,fight klub,april    ,8,38,12,33,4321396,5960311,457562,753
446,fight klub,april    ,8,38,12,33,4321396,5960311,457562,753
447,andy milonakis theme song,march    ,30,29,5,17,4325406,5011056,6079,317
448,wonder showzen episodes,march    ,6,5,5,25,4329603,168014,159761,325
449,the chronicles of narnia skit,april    ,19,49,10,32,4340237,62810,226874,632
450,dual cleanse infomercial,may      ,3,63,12,33,4343462,5074371,411186,753
451,dual cleanse infomercial,may      ,3,63,12,33,4343462,5074371,411186,753
452,goth angels,march    ,26,25,5,36,4349978,4058592,609018,336
453,streetlordz music videos,april    ,18,48,0,9,4356695,6539085,654032,9
454,lee jun ki,may      ,21,81,7,45,4363377,4306715,73774,465
455,scary movie 2 outtakes,april    ,25,55,19,25,4361616,6519825,363545,1165
456,master lock 220 picking,may      ,7,67,3,10,4368900,6622214,469582,190
457,vince carter's rides,may      ,29,89,17,46,4371602,5941283,162474,1066
458,catfight,may      ,19,79,18,16,4372299,6080244,116288,1096
459,jason mcelway video,march    ,17,16,22,7,4385974,5336507,120092,1327
460,field mob video girls,may      ,18,78,21,27,4390055,6049530,248079,1287
461,king bowser koopa,may      ,11,71,12,8,4392219,4785111,376329,728
462,pepsi commercial with jimmy fallon,march    ,8,7,20,23,4393885,6093591,384432,1223
463,pepsi commercial with jimmy fallon,march    ,8,7,20,23,4393885,5813400,633191,1223
464,hoops flava of love,march    ,21,20,1,7,4397279,4351373,476982,67
465,snl woomba video,april    ,25,55,9,27,4401444,3575712,390164,567
466,electric scooter stunts,may      ,5,65,20,10,4405706,4112755,261688,1210
467,electric scooter stunts,may      ,5,65,20,10,4405706,4112755,261688,1210
468,chudney ross,april    ,7,37,19,27,4407332,4081027,312383,1167
469,adult swim home movies,may      ,31,91,19,4,4410884,2079090,448014,1144
470,evengi plushenko,march    ,20,19,21,48,4414778,3861199,90460,1308
471,kate bush fruitopia ads,may      ,24,84,1,25,4423689,3600166,98450,85
472,snap yo fingers lil jon,april    ,19,49,10,54,4436491,3215123,288656,654
473,simpsons opening sequence,may      ,13,73,6,56,4439276,768553,199541,416
474,simpsons opening sequence,may      ,13,73,6,56,4439276,768553,199541,416
475,joga bonita,march    ,14,13,5,57,4435658,1993165,240679,357
476,backstreet boys japan humor singing,may      ,24,84,23,52,4441531,3981342,235020,1432
477,gregwesley,may      ,23,83,13,23,4441609,6491058,497591,803
478,king rising,march    ,10,9,5,54,4444789,95598,516123,354
479,metal gear solid subsistence trailer,april    ,10,40,22,17,4446672,5280221,423232,1337
480,kakashi naked,may      ,10,70,22,20,4458829,2333702,277723,1340
481,vw gti comercials,march    ,24,23,2,21,4471716,6271920,269729,141
482,namine,march    ,19,18,20,56,4472685,5442414,484663,1256
483,evergreen85,may      ,4,64,13,52,4479282,704134,305301,832
484,the phantom of the opera music,march    ,19,18,14,33,4481353,691270,633692,873
485,cocoa with big boobs,may      ,23,83,19,44,4490500,3337232,441212,1184
486,video highlights from the recent barcelona vs arsenal game,march    ,25,24,2,27,4497387,521068,103558,147
487,kingdom hearts ii tips ariel's dance,march    ,21,20,20,0,4496277,3067834,79805,1200
488,weird dancing,april    ,11,41,5,23,4497904,6558591,100398,323
489,myspace movie,april    ,21,51,11,57,4517590,3945488,271876,717
490,myspace movie,april    ,21,51,11,57,4517590,691364,304712,717
491,myspace movie,april    ,21,51,11,57,4517590,3212016,177119,717
492,myspace movie,april    ,21,51,11,57,4517590,1733990,300474,717
493,myspace movie,april    ,21,51,11,57,4517590,2705769,300474,717
494,myspace movie,april    ,21,51,11,57,4517590,3710063,213749,717
495,myspace movie,april    ,21,51,11,57,4517590,3697933,31678,717
496,pink dear mr president,april    ,15,45,9,3,4517640,1691234,218380,543
497,lucifer japanese rock band,april    ,27,57,14,12,4523159,4768319,22128,852
498,dear mr president pink,april    ,24,54,2,11,4528152,2639599,79564,131
499,legends of the hidden temple,may      ,2,62,8,35,4537498,3517278,547314,515
500,ffx-2 cinema,may      ,16,76,16,26,4550572,1641982,437754,986
501,nornna,may      ,29,89,11,20,4549655,1831458,289692,680
502,crazy asian mother,may      ,7,67,21,54,4565521,6888098,370747,1314
503,crazy asian mother,may      ,7,67,21,54,4565521,6888098,370747,1314
504,b5 whose afraid of the big bad wolf,may      ,23,83,18,52,4571099,4983804,39957,1132
505,sora master form,april    ,14,44,17,34,4572130,2741645,491794,1054
506,beyonce singing videos a kid,march    ,26,25,20,22,4577432,2272570,555270,1222
507,rc flight video,april    ,3,33,10,3,4581911,2703049,492162,603
508,mymp kailan,may      ,24,84,15,1,4586854,6525556,599314,901
509,jennahaze.com,may      ,10,70,8,45,4588586,3948909,105866,525
510,kevin federline,march    ,15,14,22,29,4590073,1052550,446362,1349
511,kevin federline,march    ,15,14,22,29,4590073,3004021,507426,1349
512,pin up girls,may      ,9,69,13,20,4589109,1683416,558314,800
513,scary movie 4 trailor,april    ,24,54,0,20,4605657,5238614,346981,20
514,tool vicarious,may      ,6,66,0,9,4606727,3245185,155825,9
515,tool vicarious,may      ,6,66,0,9,4606727,3499100,53632,9
516,patrick roy vernon video,march    ,13,12,10,35,4611740,5882521,363879,635
517,patrick roy vernon video,march    ,13,12,10,35,4611740,5530983,363879,635
518,group trampling,april    ,18,48,15,21,4625590,3392180,20121,921
519,group trampling,april    ,18,48,15,21,4625590,3392180,20121,921
520,avatar the last airbender recorded episodes,may      ,7,67,4,22,4622170,3309881,363930,262
521,titanic two the surface,march    ,4,3,0,41,4625786,1731765,263366,41
522,titanic two the surface,march    ,4,3,0,41,4625786,1385713,565418,41
523,titanic two the surface,march    ,4,3,0,41,4625786,5978906,508651,41
524,carmen - l word,april    ,9,39,0,21,4630679,6718077,308848,21
525,top starz all stars,may      ,25,85,14,59,4634050,2781754,1703,899
526,apache dance school assembly,may      ,5,65,22,12,4640184,4430150,166180,1332
527,u2 and mary j blige,may      ,29,89,9,7,4642336,5935080,620013,547
528,golddigger carlos mencia,may      ,8,68,11,46,4646549,1316449,304582,706
529,rakim y ken-y si la vez,may      ,9,69,17,6,4658344,938071,55995,1026
530,ufc fighter genki sudo,april    ,14,44,19,21,4661949,4256375,425061,1161
531,ufc fighter genki sudo,april    ,14,44,19,21,4661949,4256375,425061,1161
532,all time high rita coolidge,april    ,9,39,9,34,4663588,1184646,415213,574
533,ijuksa rain,may      ,7,67,4,20,4665603,1705525,116344,260
534,emily stern,april    ,30,60,22,22,4682970,4662038,10647,1342
535,daniels henney,march    ,3,2,22,40,4687167,4871218,402516,1360
536,jugganaut,april    ,1,31,11,55,4686537,4747276,390129,715
537,naked sumo wrestlings,march    ,7,6,16,35,4695136,3130725,354062,995
538,550 benz,may      ,25,85,16,47,4696942,2416768,558758,1007
539,maurice benard and natalia livingston,april    ,4,34,8,30,4702114,780829,183203,510
540,maurice benard and natalia livingston,april    ,4,34,8,30,4702114,780829,183203,510
541,simpsons live movie,march    ,1,0,10,48,4705497,2062394,371510,648
542,simpsons video,april    ,15,45,6,48,4716575,3844198,364180,408
543,happy tree friends sex,april    ,12,42,23,23,4723002,4763814,146677,1403
544,grisly underground,may      ,29,89,10,51,4732323,6107205,154053,651
545,grisly underground,may      ,29,89,10,51,4732323,2479742,154053,651
546,grisly underground,may      ,29,89,10,51,4732323,1397295,154053,651
547,www.spunkmouth.com,may      ,23,83,19,24,4730458,4800454,454080,1164
548,riding the wings of pestilence,april    ,9,39,9,44,4734814,6912332,40833,584
549,sexy bunnys,march    ,31,30,0,29,4739979,6373141,144087,29
550,vito spatafore gay club video,april    ,18,48,9,57,4742072,3284867,62365,597
551,blood elf dance,april    ,24,54,13,4,4759218,1173021,62569,784
552,french maid,april    ,26,56,18,8,4759567,4758523,175528,1088
553,fanstab chicago,april    ,18,48,17,25,4763128,6554058,472471,1045
554,fresh prince dance apache,march    ,8,7,16,23,4763150,4859549,166180,983
555,davey havok,april    ,20,50,11,39,4777227,4066394,421925,699
556,ninjas of the night,march    ,24,23,16,6,4804902,4362797,65269,966
557,hair cutting animations,march    ,21,20,17,9,4816534,433072,225018,1029
558,mige from him,april    ,6,36,1,36,4826835,6120330,467867,96
559,natalie portman snl,may      ,27,87,11,59,4842542,3739048,488000,719
560,deadgirlsclub,may      ,30,90,17,50,4851080,919952,555849,1070
561,my tube.com,april    ,30,60,11,51,4685738,1144343,397922,711
562,ymca dance,may      ,11,71,18,35,4861278,4829029,354205,1115
563,do three 6 mafia worship the devil,april    ,2,32,21,16,4883331,3047474,611588,1276
564,do three 6 mafia worship the devil,april    ,2,32,21,16,4883331,3047474,611588,1276
565,kate ryan desenchantee music code,april    ,5,35,21,56,4887994,4144081,87578,1316
566,d.n. angel about riku and daisuke,may      ,26,86,15,54,4899713,4388035,441832,954
567,d.n. angel about riku and daisuke,may      ,26,86,15,54,4899713,4388035,441832,954
568,evergrey monday morning video 2,may      ,16,76,1,22,4929471,6524321,453707,82
569,evergrey monday morning video 2,may      ,16,76,1,22,4929471,6524321,453707,82
570,evergrey monday morning video 2,may      ,16,76,1,22,4929471,6524321,453707,82
571,two legged dog,april    ,5,35,5,32,4930640,5488457,158319,332
572,powerpuff 20girls,march    ,25,24,9,6,4940139,3329512,89745,546
573,felonyfights.com,may      ,12,72,4,10,4940393,225239,187525,250
574,michelle flores,march    ,28,27,9,47,4944659,961301,448121,587
575,1980's drug songs,may      ,23,83,18,16,4943978,2234515,396455,1096
576,carmen electra scary movie 4,march    ,8,7,22,54,4947017,4332975,363545,1374
577,liza minelli,april    ,11,41,1,39,4949513,6901128,162142,99
578,vogueing,march    ,5,4,7,37,4955038,672988,519076,457
579,vogueing,march    ,5,4,7,37,4955038,672988,519076,457
580,guitar tabs for taking back sunday's makedamnsure,march    ,14,13,4,56,4955746,4049913,339997,296
581,the song on the visa comercial,april    ,30,60,17,38,4956243,6916050,423066,1058
582,the all american rejects song move along video for myspace,march    ,12,11,23,32,4973265,5075582,499777,1412
583,the all american rejects song move along video for myspace,march    ,12,11,23,32,4973265,391209,499777,1412
584,lebron james dunking,april    ,22,52,18,9,4981424,4809450,2076,1089
585,n.b.c. deal or no deal.dond,may      ,20,80,8,8,4983993,879271,205397,488
586,booty clapping clips,april    ,3,33,18,32,4996873,2952016,388128,1112
587,boys wrestling,may      ,22,82,19,50,4992635,2641095,116684,1190
588,honda fat cat,march    ,3,2,20,7,4992903,1251939,302437,1207
589,loanchau,march    ,11,10,5,22,5003647,6726218,383362,322
590,murda mook,march    ,1,0,17,0,5008963,6305264,514537,1020
591,history of dance guy,april    ,7,37,11,55,5005094,6058949,509537,715
592,splinter cell co-op theater 3,march    ,7,6,1,46,5007201,17529,177070,106
593,vw bus shows,april    ,12,42,4,22,5014524,1625714,127100,262
594,short people,may      ,25,85,19,1,5013899,2625390,162737,1141
595,beth twitty,march    ,18,17,3,16,5024583,1204274,234612,196
596,video of jamie foxx singing to serena williams,may      ,2,62,12,35,5029348,3867692,265060,755
597,video of jamie foxx singing to serena williams,may      ,2,62,12,35,5029348,3867692,265060,755
598,video of jamie foxx singing to serena williams,may      ,2,62,12,35,5029348,3867692,265060,755
599,video of jamie foxx singing to serena williams,may      ,2,62,12,35,5029348,3761852,265060,755
600,video of jamie foxx singing to serena williams,may      ,2,62,12,35,5029348,3761852,265060,755
601,a dog named faith that walks on 2 legs,may      ,2,62,22,57,5033411,6920788,340607,1377
602,pac-man,march    ,22,21,22,22,5032644,413759,50984,1342
603,peter cetera glory of love,march    ,30,29,17,10,5037235,5107662,593442,1030
604,church of latoya,april    ,11,41,8,49,5046653,5505629,137529,529
605,funny videos to sendin e-mail,may      ,5,65,1,32,5056338,3789799,282619,92
606,frank the tank,may      ,8,68,20,49,5061742,584810,190533,1249
607,oscar meyer and commercial,may      ,19,79,12,49,5065612,1383747,112911,769
608,lisa lisa and the cult jam,march    ,13,12,9,41,5077931,5106077,299356,581
609,timex social club,april    ,2,32,20,4,5098759,5941089,323497,1204
610,letoya luckett torn video,april    ,15,45,18,8,5098057,3108388,282068,1088
611,kelly clarkson's 2006 grammy performance,may      ,14,74,17,19,5100343,1696807,259965,1039
612,upload japanese yugioh episodes,march    ,4,3,23,12,5099442,1039759,69090,1392
613,the warrior ziyi,march    ,30,29,6,49,5102886,4150918,649362,409
614,ronna's feet stink so bad,april    ,23,53,23,32,5114093,317063,61517,1412
615,ronna's feet stink so bad,april    ,23,53,23,32,5114093,317063,61517,1412
616,ronna's feet stink so bad,april    ,23,53,23,32,5114093,2595201,61517,1412
617,videos of people getting slimed,may      ,5,65,23,36,5119905,1996606,559683,1416
618,nightclub video,april    ,14,44,11,58,5118270,824300,512309,718
619,sexy no jutsu,april    ,2,32,5,8,5126905,1875524,149564,308
620,chris bliss juggling to the beatles,may      ,10,70,7,38,5129444,2696902,601546,458
621,korn gifs,march    ,28,27,16,58,5137126,2186165,336742,1018
622,learn the dance moves to do it do it,march    ,3,2,11,7,5144121,4357800,279498,667
623,myspace its peanut butter jelly time,april    ,5,35,0,57,5147284,511858,135495,57
624,u tube,may      ,25,85,23,43,5149056,4022491,246373,1423
625,u tube,may      ,25,85,23,43,5149056,1571586,163219,1423
626,u tube,may      ,25,85,23,43,5149056,2689028,243628,1423
627,u tube,may      ,25,85,23,43,5149056,55343,541638,1423
628,u tube,may      ,25,85,23,43,5149056,1820399,82906,1423
629,u tube,may      ,25,85,23,43,5149056,5847598,82906,1423
630,u tube,may      ,25,85,23,43,5149056,3130076,190844,1423
631,u tube,may      ,25,85,23,43,5149056,5987373,501073,1423
632,u tube,may      ,25,85,23,43,5149056,3718138,317514,1423
633,u tube,may      ,25,85,23,43,5149056,4743185,348903,1423
634,u tube,may      ,25,85,23,43,5149056,1907519,125104,1423
635,u tube,may      ,25,85,23,43,5149056,5593426,452447,1423
636,andy milonokis,april    ,2,32,23,24,5153498,4937757,315571,1404
637,chris brown gimme dat video,april    ,13,43,18,44,5152412,417665,431440,1124
638,dephkamp,may      ,28,88,0,51,5157061,2610671,493290,51
639,dephkamp,may      ,28,88,0,51,5157061,3792595,493290,51
640,big spender video,may      ,16,76,11,9,5157469,5915382,532682,669
641,flavor of love reunion,april    ,14,44,21,3,5160262,6776978,482415,1263
642,flavor of love reunion,april    ,14,44,21,3,5160262,5677582,241907,1263
643,flavor of love reunion,april    ,14,44,21,3,5160262,6527381,494065,1263
644,flavor of love reunion,april    ,14,44,21,3,5160262,3815264,135290,1263
645,stripper contest,may      ,8,68,1,45,5161887,3071446,151524,105
646,crackhead gone wild,march    ,11,10,10,15,5163051,4746219,78928,615
647,liza minnelli on larry king,may      ,15,75,9,49,5168694,5453281,442596,589
648,commercial no pinch,may      ,31,91,9,47,5177308,5551568,599028,587
649,cant fight the moonlight music vidio,march    ,24,23,15,58,5183053,227675,87292,958
650,desi videos bollywood movie side,may      ,11,71,19,22,5186795,186635,527122,1162
651,homevideos,april    ,24,54,8,15,5192379,1660359,218577,495
652,homevideos,april    ,24,54,8,15,5192379,1660359,218577,495
653,www.themyspacemovie.com,may      ,10,70,6,5,5200314,1801984,92773,365
654,www.themyspacemovie.com,may      ,10,70,6,5,5200314,281043,70911,365
655,www.themyspacemovie.com,may      ,10,70,6,5,5200314,5720434,304712,365
656,www.themyspacemovie.com,may      ,10,70,6,5,5200314,5720434,304712,365
657,tit,march    ,2,1,14,20,5206972,3223826,246710,860
658,rodney mullen videos to put on myspace,may      ,11,71,3,10,5211608,2936953,371079,190
659,peirced nipples,may      ,10,70,9,49,5215688,4457102,454514,589
660,tyrone biggums on fear factor,may      ,7,67,9,12,5221250,6315823,270318,552
661,we are scientists,april    ,29,59,12,21,5223926,648800,98466,741
662,your cruel device your blood like ice one look could kill,march    ,18,17,12,50,4941360,6547866,445824,770
663,dancing skelton,april    ,15,45,5,28,5224506,95743,258620,328
664,dancing skelton,april    ,15,45,5,28,5224506,95743,258620,328
665,dancing skelton,april    ,15,45,5,28,5224506,95743,258620,328
666,daniel saullo nude,march    ,13,12,22,12,5227890,3047915,444633,1332
667,daniel saullo nude,march    ,13,12,22,12,5227890,3972340,444633,1332
668,girls making out video,march    ,17,16,0,4,5228956,6355746,580026,4
669,smashing pumpkins tonight tonight video,april    ,30,60,16,43,5235838,2559222,4422,1003
670,stanford football band 1982 video,may      ,2,62,17,46,5238638,4564873,188746,1066
671,the bigest penis,may      ,10,70,7,7,5254950,4673466,243247,427
672,www.myspace.com,may      ,16,76,14,39,5260400,4988204,185003,879
673,guerilla black,april    ,15,45,20,21,5263214,5094178,64625,1221
674,mad tv laguna biotch,april    ,6,36,6,50,5263306,1876578,21132,410
675,mad tv laguna biotch,april    ,6,36,6,50,5263306,1855480,580329,410
676,dave chappel piss on you,may      ,31,91,21,39,5264913,1027524,650819,1299
677,wonder showzen,may      ,29,89,7,19,5276732,2265583,159761,439
678,wonder showzen,may      ,29,89,7,19,5276732,1687818,317858,439
679,watch south park movie,march    ,31,30,0,29,5279390,4862870,81257,29
680,watch south park movie,march    ,31,30,0,29,5279390,444833,81257,29
681,boty 2005 korea final,may      ,15,75,1,58,5282370,5479192,68287,118
682,videos of girls fighting,march    ,15,14,3,35,5281919,201787,589764,215
683,gang control,may      ,2,62,20,6,5287955,423367,261902,1206
684,chuck norris brokeback,march    ,18,17,1,57,5288075,6783761,171565,117
685,no hay nadie - hector el father yomo y victor manuel,may      ,30,90,23,55,5291932,6281206,235400,1435
686,no hay nadie - hector el father yomo y victor manuel,may      ,30,90,23,55,5291932,2485547,235400,1435
687,gundam seed destiny...love,april    ,1,31,4,38,5302291,5371939,236103,278
688,gundam seed destiny...love,april    ,1,31,4,38,5302291,1749932,236103,278
689,was the fight between bruce lee and chuck norris real,may      ,2,62,17,39,5306397,4183548,445387,1059
690,the jugganot bitch,march    ,1,0,16,39,5320703,1603328,490328,999
691,the jugganot bitch,march    ,1,0,16,39,5320703,1603328,490328,999
692,the jugganot bitch,march    ,1,0,16,39,5320703,1603328,490328,999
693,the jugganot bitch,march    ,1,0,16,39,5320703,1603328,490328,999
694,www.hunkvideo.com,april    ,22,52,11,35,5323004,3036869,210587,695
695,my space . com,april    ,9,39,20,6,5326590,648688,298406,1206
696,kidnapped women bound and gagged,may      ,26,86,19,14,5333748,5896347,148950,1154
697,kidnapped women bound and gagged,may      ,26,86,19,14,5333748,2277454,148950,1154
698,naked,march    ,13,12,5,6,5337549,2962340,468991,306
699,metallica at woodstock 99 video,march    ,8,7,23,5,5342871,6123693,162307,1385
700,nikki and helen deleted scenes,may      ,29,89,18,34,5347618,5963974,402862,1114
701,vince welnick,april    ,5,35,19,6,5347813,5016921,335180,1146
702,new advantix commercial,april    ,2,32,18,12,5359200,6240818,297873,1092
703,zac efron and vanessa hudgens dating,march    ,22,21,2,11,5363549,1051247,269033,131
704,zac efron and vanessa hudgens dating,march    ,22,21,2,11,5363549,6744299,269033,131
705,valdosta high school football,april    ,16,46,16,26,5363740,3116920,195268,986
706,patric roy fight,may      ,24,84,16,27,5366632,2390470,61248,987
707,brokeback scene clips,may      ,31,91,20,47,5351209,2647760,466981,1247
708,dragonball z vs. mortal kombat,march    ,14,13,23,42,5373378,4964134,509801,1422
709,lepracon of mobile,march    ,3,2,22,12,5381002,4607205,608837,1332
710,1 hot mom,may      ,14,74,18,39,5390102,162786,398441,1119
711,i shift comma three,march    ,18,17,17,56,5387794,5127561,609012,1076
712,snl narnia rap,april    ,2,32,4,13,5391333,3865413,486111,253
713,snl narnia rap,april    ,2,32,4,13,5391333,3865413,486111,253
714,yourtube.om,may      ,3,63,13,17,5405709,1381498,211446,797
715,teddy grams,april    ,1,31,3,3,5406760,3804033,40833,183
716,teddy grams,april    ,1,31,3,3,5406760,3804033,40833,183
717,www.zoey101,march    ,5,4,21,3,5411068,326211,378170,1263
718,hips don't lie,may      ,9,69,23,24,5420374,6291118,146066,1404
719,hips don't lie,may      ,9,69,23,24,5420374,5279655,244304,1404
720,chrysler aspen,april    ,19,49,0,44,5416956,6275030,253070,44
721,the pogues,may      ,21,81,12,26,5418313,2983117,44931,746
722,video of mr. rodgers breakdancing,may      ,19,79,10,7,5435935,368383,232794,607
723,mirror mirror by m2m,march    ,23,22,4,35,5445436,2080828,217942,275
724,andersoncooper,march    ,7,6,23,46,5445154,5072269,303148,1426
725,andy milinokis,may      ,2,62,22,36,5449937,2565831,346123,1356
726,marty taras,may      ,29,89,2,9,5450380,2175938,148422,129
727,scary movie 4,march    ,27,26,17,34,5462575,597305,554238,1054
728,hoopz from flava of love,may      ,2,62,18,34,5473948,3599629,325199,1114
729,pokemon,march    ,17,16,14,41,5475304,5481345,261919,881
730,forever young,may      ,28,88,22,22,5476890,2281760,356071,1342
731,exorcism maze joke,april    ,14,44,22,45,5481035,5945804,439844,1365
732,mad tv bret hart skit,may      ,19,79,22,28,5482806,6685035,423232,1348
733,fire engine 33,may      ,7,67,17,27,5479847,6049692,489152,1047
734,kelly clarkson and grammy performance,march    ,23,22,8,37,5484393,987187,195642,517
735,rock and roll music in misis,march    ,26,25,20,40,5488470,2524764,477946,1240
736,turbine control jets,april    ,9,39,0,58,5487483,4545263,581009,58
737,madtv vagina monologues,may      ,18,78,1,21,5496362,2231212,631860,81
738,cammed ls1,march    ,21,20,9,48,5502131,71417,61471,588
739,aly and aj rush mp3,march    ,16,15,8,52,5504272,6505107,301884,532
740,fast raps mix - bone thugs,may      ,27,87,15,32,5514518,3651308,116976,932
741,halo 2 montages,may      ,26,86,0,16,5514579,4165726,560882,16
742,i o brush,march    ,23,22,1,11,5512425,4929096,265098,71
743,shit skins,may      ,25,85,13,2,5514783,3979891,604910,782
744,shannon kringen,april    ,2,32,23,41,5521437,5684463,631122,1421
745,nude boating,march    ,12,11,2,40,5525699,58824,315889,160
746,myspace texas longhorns,april    ,20,50,18,31,5536698,3658495,539898,1111
747,michael jackson flash player movies,may      ,19,79,19,29,5541533,2804096,251811,1169
748,michael jackson flash player movies,may      ,19,79,19,29,5541533,899149,251811,1169
749,bayonne bridgemen,april    ,1,31,20,10,5541659,2417640,184703,1210
750,bayonne bridgemen,april    ,1,31,20,10,5541659,2417640,184703,1210
751,bayonne bridgemen,april    ,1,31,20,10,5541659,6346633,184703,1210
752,bayonne bridgemen,april    ,1,31,20,10,5541659,1975138,184703,1210
753,bayonne bridgemen,april    ,1,31,20,10,5541659,1975138,184703,1210
754,bayonne bridgemen,april    ,1,31,20,10,5541659,544092,184703,1210
755,bayonne bridgemen,april    ,1,31,20,10,5541659,2068492,184703,1210
756,tom cruise on 106 & park,march    ,4,3,15,10,5554526,5712984,586596,910
757,monkey sniffs butt,may      ,16,76,10,40,5558588,4412262,405368,640
758,real life simpsons intro,may      ,20,80,2,20,5557887,3541123,569765,140
759,real life simpsons intro,may      ,20,80,2,20,5557887,2503800,18542,140
760,real life simpsons intro,may      ,20,80,2,20,5557887,5679076,496017,140
761,if you a blood throw it up video,may      ,6,66,7,50,5577608,1962665,357547,470
762,chloroform lizzie fanfiction,march    ,12,11,16,50,5592315,5898704,551246,1010
763,chloroform lizzie fanfiction,march    ,12,11,16,50,5592315,5898704,551246,1010
764,shoulder lean video,march    ,28,27,13,22,5598805,2187322,161976,802
765,dani california music video,march    ,16,15,0,52,5603117,91582,193235,52
766,club mate baltimore,may      ,16,76,14,10,5608877,1878211,207611,850
767,booty dancing,may      ,16,76,12,46,5608881,2275051,476982,766
768,booty dancing,may      ,16,76,12,46,5608881,2920795,165291,766
769,fighting fruit fruitopia commercial,march    ,1,0,14,53,5610098,3969599,98450,893
770,randy harrison and gale harold sex,march    ,19,18,18,58,5612117,3429787,240334,1138
771,x-men the last stand tv spots,march    ,26,25,17,32,5618533,911851,246220,1052
