Title	Video ID	Published At	Description	View Count	Like Count	View-Like-Ratio
Plastic Tree- Kuuchuu Buranko	ANTv-MwPLUw	2006-04-13T02:22:14Z	Plastic Tree's PV. Lyrics can be found here in Romaji, Japanese, and English: ...	1443064	49711	0.0344482296
John Frusciante - The Past Recedes	IIvzwjVFvqk	2006-03-13T11:32:37Z	The Past Recedes by John Frusciante Album: Curtains (2005) Label: Record Collection And then the past recedes And I won't ...	1436436	N/A	#VALUE!
I'm Looking Out For Me	DxgHLsF2hio	2006-05-14T02:32:27Z	Iago's song from The Return of Jafar.	1420520	5712	0.004021062709
megadeth - duke nukem theme	pxcbr3PJ76E	2006-04-24T02:15:22Z	Check out my latest short film on yobi.tv film contest. The semifinals begins March 8th, 2010. Don't forget to vote thumbs up then: ...	1416910	4657	0.003286729574
In The End - Star Wars Music Video	454Qry2w5kg	2006-04-26T19:21:05Z	YouTube made me change the audio. New Link: https://www.youtube.com/watch?v=z_5kt0MwJV4 So here it is. After 'Pretty Fly ...	1414434	3403	0.00240590936
Wuthering Heights (1992) (Kate Bush-Wuthering Heights)	UI5qEQAvOcY	2006-04-15T22:45:33Z	Featuring the 1992 adaptation of Wuthering Heights. Accompanied by Kate Bushs' song :-) Put together by me a few years back.	1401154	4731	0.003376502512
Ash - Burn Baby Burn (Official HD Video)	t5ZtotlZ0ug	2006-05-12T19:53:11Z	Free All Angels' splatter vinyl available to pre-order now https://ash-official.com/links The rifftastic 'Burn Baby Burn', with a ...	1390263	7786	0.005600379209
A pyit ma tin yat par	MibyBibImAg	2006-05-10T16:35:40Z	R.Zarni & J.Me.	1389024	7194	0.00517917617
Milow - One Of It (old video 2005)	eWiPEDGovNk	2006-05-10T07:49:53Z	http://www.milow.com Very first video for One Of It, taken from The Bigger Picture, Belgian singer-songwriter Milow's debut album ...	1372410	1130	0.0008233691098
Ali G Invents the Ice Cream Glove	nkuOuxRD1Bc	2006-03-20T19:03:29Z	Ali G presents his idea for an ice cream glove to a few marketing pros and even talks to Donald Trump. Remember Back to the ...	1353218	4688	0.003464334645
Plain White T's - Take Me Away	qif94hLC_ns	2006-03-17T23:23:59Z	Watch the video for Take Me Away by the Plain White T's from their album 'All That We Needed'. Like the music video?	1351808	4936	0.003651406117
Hold Me (Håll Om Mig)	9197GTl1ASg	2006-05-30T03:22:25Z	This is the Best Action & Best Of Show Winner of the Anime Boston 2006 Anime Music Video Contest. The anime used was ...	1349131	13274	0.009838925946
Milow - Excuse To Try (Music Video 2006)	Q3k8CvosbGg	2006-05-10T07:12:01Z	http://www.milow.com The music video for Excuse To Try, the 2nd promo-single taken from Belgian singer-songwriter Milow's ...	1344279	1012	0.0007528199131
Uncensored Resident Evil Opening	_GyOYaDHquE	2006-04-18T21:26:57Z	This is the uncut and unwatermakred opening version of Resident Evil, in color.	1337771	6417	0.0047967851
Chris de Burgh - Where peaceful waters flow	_zUjMrvrraw	2006-03-28T01:14:07Z	Chris de Burgh live - 2006 Fantastic performans by Chris de Burgh.	1337580	3337	0.002494804049
Ronald Speirs	HS1qfIsINh8	2006-04-10T22:11:50Z	Extract from episode 7 of Band of Brothers where Liutenant Speirs saves E Company.	1333504	6497	0.004872126368
Macworld San Francisco 2006-The MacBook Pro Introduction	I6JWqllbhXE	2006-04-03T08:57:12Z	Here we see Steve Jobs introducing the first ever MacBook Pro with Intel inside.	1320632	10412	0.007884103974
Chaves - A Festa Da Boa Vizinhança [Parte II]	dnqZJk_yDf0	2006-05-25T11:22:02Z	PARTE 2 DE 7 Para baixar o vídeo (Compactado com WinZIP em 4 partes - Total 354 Mb) Parte 01 ...	1306244	4195	0.003211498005
Wonder Woman - Wonder Girl Spin Transformation	4vej3b3LFV8	2006-04-30T05:18:52Z	Taken from part one of the first-season episode The Feminum Mystique, this clip shows Diana's sister, Drusilla, as she ...	1296495	4768	0.003677607704
Ash - Orpheus (Official Video)	zB6X1h6eGTc	2006-05-17T19:38:23Z	The first single proper from Top 5 album 'Meltdown', 'Orpheus' hammered the UK airwaves and hit the singles chart at number 13.	1291889	6734	0.005212522128
A neverending Dream (Official Video)  X-Perience original 1996	ytTqmOANYJc	2006-04-18T15:14:45Z	Top 4 Single A neverending Dream X-Perience https://lnk.to/ifly555 Original of Cascada Cover New Single I feel like You 555 ...	1290802	10947	0.008480773968
Mars Attacks! (Trailer)	VYHeZCEFwhI	2006-03-21T08:13:38Z	Actors: Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael ...	1289726	2180	0.001690281502
African music - hip hop from Africa: X Plastaz (Swahili rap)	UiIa2i29PZ4	2006-04-17T19:55:25Z	Fan page: http://facebook.com/xplastaz Official website: http://www.xplastaz4life.com Translation: click on the 'cc' button for ...	1287684	3724	0.002892013879
Stanley Clarke / Steve Gadd - My Greatest Hits	Je_iqbgGXFw	2006-03-03T04:32:57Z	Some of the best groove you will ever hear.	1263847	3696	0.002924404615
The Egg - Walking Away	dR3kNG4rcGc	2006-03-09T12:06:03Z	The sexy video for Walking Away by The Egg - Released 10th April on Gusto Records. Find out more online at ...	1260852	3245	0.002573656543
Creek Levi's 501 commercial -  Inside by Stiltskin	skWFyop_pxU	2006-05-22T12:00:50Z	Finally I found this old Levi's commercial! Maybe is one of the best levi's commercial I ever seen ... who does remember it?	1229764	4355	0.003541329881
Iron & Wine - Lion's Mane [OFFICIAL VIDEO]	n9SmwC_ZX0I	2006-04-04T23:27:11Z	The Creek Drank the Cradle (Release Date: 9/23/02) iTunes ...	1228969	3948	0.003212448809
Charles Barkley laughs at Damon Jones	_eyY2_6_fbU	2006-05-13T09:11:03Z	2006 NBA Dunk Contest, Iguodala dunks, but Charles Barkley can't stop talking about Damon Jones' flashy red coat.	1217721	2235	0.001835395793
The Muppet Matrix	2LDd-9t1BEQ	2006-03-17T07:44:04Z	The Matrix - with Muppets...	1211045	3269	0.00269932166
Phantom of the Opera - Dark Waltz	K5VnBTnI3s4	2006-03-09T00:54:47Z	A Phantom of the Opera video I saved a long time ago. I didn't make it, forgot where I found it. But its amazing, nonetheless.	1210147	4485	0.003706161318
Area 88 F-8 vs MiG-21	HN7n-RNOjFU	2006-04-05T15:34:14Z	From Area88, Shin battles against the newly introduced (in that war) MiG-21 The name of the song is Symsonic.	1207972	6486	0.005369329753
Skittles Rabbit	7HEF49nMsM8	2006-05-18T22:50:03Z	Beware what you trade your skittles for.	1186595	6984	0.005885748718
Brian Campbell DESTROYS RJ Umberger (BEST VIDEO)	i3Gvfr9GUC0	2006-05-02T16:22:51Z	ALL VIDEO PROPERTY OF THE NHL! Please visit www.nhl.com This video is a mixture of 4 differant announcers. Listen to the ...	1185017	2478	0.002091109241
Ghost Recon Advanced Warfighter Trailer	DKZjxoJyI8g	2006-05-15T16:32:32Z	Check Out www.TeamMerk.net Ghost Recon Advanced Warfighter Trailer.	1177581	2422	0.002056758728
Bardot - Poison	nPnZ9SLb2EM	2006-03-03T05:21:13Z	Poison is the debut single from Australia's highest-selling girl group, Bardot. It was released in April 2000 and is taken from their ...	1174734	2928	0.002492479148
fly	v9T51UsuaPU	2006-05-30T12:33:40Z	To and all the friend who enjoy flying.	1157597	2127	0.001837427015
Rich Franklin Workout	cq7Kdv0RHmc	2006-05-16T05:56:37Z	I have so much respect for this guy. 10x10 circuit no rest. He is a monster, thats the kind of workout that makes pro football players ...	1153379	1251	0.001084639134
The World's Greatest Rock gigs: Queen at Live Aid	BRavEPU_AJQ	2006-05-19T14:55:23Z	Interviews about Queen's shining moment from 1985 where they stole the show at Live Aid.	1138819	3385	0.002972377524
anego specials	eu4-_P91oBw	2006-03-18T08:23:22Z	anego.	1123012	1754	0.001561871111
The Notwist - Pick Up the Phone	Uhgxr47tAMs	2006-03-26T01:34:31Z		1105730	4286	0.003876172302
Marcy Playground - Comin' Up From Behind	VqmrOoCOsQo	2006-04-14T04:31:39Z	Don' t intend to be cruel - It always turns out bad! (just kidding... do whatever thou want!) PS: Written by Sherry Fraser.	1105380	4158	0.003761602345
Justin Timberlake and Barbara Walters	zIjgCn6JkXU	2006-03-07T15:22:24Z	20/20 interview...talking about the break up with Britney.	1099093	3092	0.002813228726
Hoot Movie Trailer	HgT_xT587MY	2006-05-08T01:22:50Z	Three middle-schoolers take on greedy land developers, corrupt politicians, and clueless cops in the mystery adventure HOOT ...	1094943	2637	0.002408344544
TQ & Sarah Connor Lets Get Back To Bed Boy	i0rEL724Dlg	2006-05-16T23:00:12Z	From Sarah Connor's Album 'Green Eyed Soul' peep http://www.thugpoetry.com the hottest TQ site there is.	1094361	1323	0.00120892466
Under the Scotsman's Kilt ( World of Warcraft )	R2ouuPyYVDw	2006-03-02T11:10:59Z	A world of Warcraft film to the tune of Under the Scotsman's Kilt.	1081791	2852	0.002636368763
SARAH JESSICA PARKER EMMY AWARD SPEECH	yIP8ISA0mbo	2006-03-27T18:54:28Z	SARAH JESSICA PARKER EMMY AWARD SPEECH.	1076467	3710	0.003446459576
DJ Wich feat. Vladimir 518 & Kateřina Winterová - Du dolu (OFFICIAL VIDEO)	3xOPQ6JG7zk	2006-05-24T10:51:58Z	video from the album - WICH - TIME IS NOW.	1076155	6610	0.006142237875
Tricky - Poems	wQ9pEAABU_I	2006-03-04T08:45:17Z	Tricky Poems.	1073469	5064	0.004717416153
Vaseline Glowing Inside	vUhL7jzXcIA	2006-03-03T15:14:18Z	Music Video courtesy of Vaseline Shampoo featuring the song, Glowing Inside as sung by Nikki Gil.	1062392	3882	0.003654018479
SCAR SYMMETRY - The Illusionist (OFFICIAL MUSIC VIDEO)	85h5KYI0bHU	2006-05-12T11:25:30Z	Scar Symmetry's official music video for The Illusionist. Order at: https://scarsymmetry.bfan.link/pitch-black-progress.yde ...	1054649	8412	0.00797611338
Stallone meets Rocky	76mrcTEphfc	2006-04-22T00:41:52Z	1990 video, maybe at the time of Rocky V.	1052497	36768	0.03493406632
Sanka	NACniFCYAS8	2006-04-23T12:48:42Z	Sanka you´dead?	1041087	2113	0.002029609437
THREAT SIGNAL - Rational Eyes (OFFICIAL MUSIC VIDEO)	k9gOpvrk-v4	2006-05-12T10:33:17Z	Threat Signal's official music video for Rational Eyes Order at: http://smarturl.it/TS-UR-NB SUBSCRIBE to Nuclear Blast ...	1014954	5051	0.004976580219
Danko Jones - Lovercall	SqW_KeE6ZOs	2006-05-31T12:10:37Z	Danko Jones - Lovercall, taken from the album Born A Lion. Out now on Bad Taste Records. Check out Lovercall on Spotify: ...	1010579	3700	0.003661267452
Chaves - A Festa Da Boa Vizinhança [Parte III]	Oc8z6C45JTk	2006-05-25T11:47:46Z	PARTE 3 DE 7 Para baixar o vídeo (Compactado com WinZIP em 4 partes - Total 354 Mb) Parte 01 ...	1000885	1852	0.001850362429
The Godfather Game Trailer	vKMDOt8Oc2Q	2006-04-06T20:39:26Z	For those who haven't decided to try out the game yet, I made this trailer to the best version of the Godfather love theme using ...	990490	3137	0.003167119305
Neko Case - Hold On, Hold On	50dzxkJa1NE	2006-05-01T00:25:55Z	Neko Case performing the song Hold On, Hold On.	984075	2065	0.002098417295
Scene from Brokeback Mountain, Together again after 4 years	TE8Uqh930Og	2006-03-21T18:51:51Z	WARNING** Do Not Watch This Scene If You Have Not Seen The Movie **WARNING** By Request another scene. This is ...	983518	6868	0.006983095378
Heavy Rain Trailer	HyubR1rknBM	2006-05-26T00:56:10Z	This is the trailer for the hit Heavy Rain for PS3. Do you like videogames? Check out my website www.watchusplaygames.com.	974670	2146	0.002201770856
The Trap Door - Episode 1 - Series 1	f-dapSswWTQ	2006-05-18T12:42:06Z	The Trap Door Episode 1 of 25 Series 1 of 2 Breakfast Time.	961347	2606	0.00271077977
KATAKLYSM - Crippled And Broken (OFFICIAL VIDEO)	mErH98g26is	2006-05-17T09:28:23Z	Official music video for the Kataklysm track Crippled and Broken. Order at: http://smarturl.it/KAT-ITAOD-NB Subscribe to Nuclear ...	960693	7018	0.007305143266
AMV - Final Fantasy VIII - Enigma - Gravity of Love	qq-45wXw7E8	2006-04-08T08:10:13Z	it's a final fantasy 8 video. the song is called gravity of love by enigma...	959500	4343	0.004526315789
Linkin Park - Lying from you Live @ Rock AM 06.06.2004	7o5WmoItK5I	2006-03-20T14:31:43Z	Linkin Park - Lying from you Live @ Rock AM 06.06.2004.	950203	6320	0.00665121032
The Oatmeal Project | iJustine	zR39RzCouhc	2006-05-12T18:30:15Z	PLEASE SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=ijustine GET MY PINK iJUSTINE CABLES ...	940253	11834	0.0125859742
Zalgiris Be Tabu	5R-1yc_C3fw	2006-03-06T11:44:29Z	Prikolas.	919770	3729	0.004054274438
Test Drive: Unlimited Trailer 1	0u9YP2EIvyQ	2006-05-10T23:58:24Z	Here's the First trailer to Test Drive: Unlimited for the Xbox 360.	916628	1620	0.001767347277
Clerks 2 Trailer	JeAgPiCi94o	2006-04-07T02:38:03Z	Picking up ten years after Clerks left off, Clerks II looks in on Dante and Randal's semi-new life (or lack thereof). Jeff Anderson ...	916511	2462	0.00268627436
D'Angelo w/ David Sanborn & Friends - Use Me	DMb8BhCXNs4	2006-03-08T16:28:27Z	Angelo w/ David Sanborn & Friends doing a version of Bill Withers' Use Me 1998.	915721	5600	0.006115399778
Queens Of The Stone Age  - Millionaire - Rock Am Ring 2003	SMd6CcX7yPA	2006-03-05T15:27:41Z	Get Your Ex Back : http://www.korela.com You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire - Live at Rock Am Ring ...	912081	2733	0.002996444395
GOLD PANTS LULLABY	ddFBX9hwaOM	2006-05-11T20:43:24Z	A delicate song about my love and passion for gold pants. all footage is live shows.. over the past year.	911161	3271	0.003589925381
Nothing in the World	ti9gn0yi6jw	2006-05-14T02:53:10Z	Nothing in the World (Quite Like a Friend) from The Return of Jafar.	900660	2439	0.002708014123
Where the bloody hell are you?	rn0lwGk4u9o	2006-03-21T04:52:30Z	An Aussie tourism advert, which was banned in the UK on it's release. It was known to be Lara Bingle's 15 minutes of fame, and ...	895168	1479	0.001652203832
SugarPlum HoneyBun	bhng9QDssxU	2006-04-28T21:29:15Z	SugarPlum HoneyBun was shot in 2006, using a 1280x720 30p JVC consumer camera.	889626	49	0.00005507932547
CANDLEMASS - Black Dwarf (OFFICIAL MUSIC VIDEO)	8th_3AoTm_E	2006-05-17T10:04:13Z	Official music video for the Candlemass track Black Dwarf. Order at: http://smarturl.it/CNDLM-ST-NB SUBSCRIBE to NUCLEAR ...	882882	8436	0.00955507078
Euro trip- vinnie jones	Qx49T5WJ3vI	2006-05-08T13:07:56Z	funniest scene from the film.	877279	2454	0.002797285698
Return to Oz -trailer-	ipivUGVydMY	2006-03-26T10:42:43Z	A very old trailer of the 1985 Walt Disney movie Return to Oz. **For high quality please click the link below: ...	873823	1394	0.001595288748
The Dears - 22 The Death Of All The Romance	Ty41BuLsc1A	2006-03-04T20:36:23Z	Video for '22: The Death Of All The Romance' by Montreal band The Dears. http://www.thedears.org.	872762	6080	0.006966389462
Chaves - A Festa Da Boa Vizinhança [Parte IV]	CBnW3QE2hCA	2006-05-25T12:17:59Z	PARTE 4 DE 7 Para baixar o vídeo (Compactado com WinZIP em 4 partes - Total 354 Mb) Parte 01 ...	862913	1918	0.002222703795
Choppertown: the Sinners - a custom motorcycle movie streaming and on DVD (video 1)	Hp4UCuexIsg	2006-03-02T05:23:33Z	Download the full movie today at: http://www.choppertown.com/choppertown-full-movie-download/ This film is not yet rated: Adult ...	855684	1397	0.001632612039
The Tauren's Kilt - World of Warcraft (WoW) Machinima by Oxhorn	K5BULvTr3as	2006-03-16T01:56:21Z	Listen to Oxhorn's music on iTunes: http://oxhorn.it/SnJoh9 ♫♪ Listen to Oxhorn's music on Spotify: http://oxhorn.it/QkkKjr ...	852732	6143	0.007203904627
Neo Double Games review (DS Rip off)	ow9SHsnFG2U	2006-03-28T21:30:01Z	A video review of a cheap rip-off of Nintendo's DS games system.	852708	6623	0.007767019894
Guitar and Mandolin playing Sweet Georgia Brown	Ff1hSDnCw9c	2006-05-02T18:20:10Z	For lessons visit http://www.freeflatpickingvideos.com Curtis Jones (guitar), Jeff Midkiff (mandolin) and Andy Hohwald (upright ...	847953	2375	0.002800862784
Ash - Clones	XlpWjl1peII	2006-05-17T23:12:04Z	Clones', Ash's first single from Top 5 album 'Meltdown', was released as an Internet-only download in February 2004 and went ...	841055	6253	0.007434709977
Snooker - Ronnie O'Sullivan - World Championship 1997	IpSgK5mamAA	2006-03-18T19:35:24Z	Snooker - Ronnie O'Sullivan - World Championship 1997.	840810	1289	0.001533045516
Elephants Dream	bsGEWHNJ3s8	2006-05-10T15:42:21Z	Elephants Dream is a computer-generated movie made using open source applications that premiered on March 24, 2006.	836935	2257	0.00269674467
Yellow by Neill Blomkamp	Jmd8BDiB-qU	2006-05-03T07:31:57Z	Neill Blomkamp was slated to become the director for the Halo movie... However, plans changed and now he's the director for ...	836879	3205	0.00382970537
Death On Two Legs (Queen Live @ Earl's Court '77)	MQX-U7tAepY	2006-05-29T04:26:42Z	You can download a copy of the video with this link-- ...	833956	9731	0.01166848131
Rachel Stevens & Gareth Gates - You Are Everything	7VVrfee55SI	2006-04-25T07:13:51Z	Gareth Gates and Rachel Stevens - You Are Everything duet on Pop Idol.	831748	2491	0.002994897493
Lea Salonga and Monique wilson on final auditions.	RsJpfwYBx2U	2006-05-19T04:07:02Z	Here are Lea Salonga and Monique Wilson on final auditions and selection process. The second song Lea and also Monique did ...	825555	2172	0.002630957356
Free Snowcones	tW-SJ824Y3s	2006-04-17T17:12:23Z	Improv Everywhere gives out Free Snowcones in Aspen, Colorado. Made for 100% Aspen Snow! Tastes just like the mountains!	824929	2895	0.00350939293
Trumpet - Simplifying Summer - Togs or Undies?	h-Lx2ihpGbc	2006-05-18T07:05:14Z	Tip Top Ice cream asks how far from the beach togs (Speedos) become undies?	818560	3417	0.004174403831
Calexico - Cruel	8t46dvudrp8	2006-05-23T19:02:34Z	Video for the Calexico single Cruel. Taken from the album Garden ruin, available from City Slang.	817554	1237	0.001513049903
Hey there, Little Red Riding Hood ... 	QYgXxIgrXMs	2006-03-10T07:26:57Z	Let's see, a girl who wears a red hooded cape and hangs around with a pack of wolves -- c'mon! It screams out Little Red Riding ...	814311	2675	0.003284985712
Crooked I - Boom Boom Clap	C9ufkynxgNQ	2006-03-31T00:34:22Z	first video off treacherous/dynasty records by crooked i. its a street anthem.	811572	2200	0.002710788445
Capitan Alatriste Trailer	vAcrIr84OdQ	2006-05-05T01:19:07Z	Viggo Mortensen plays the Spanish soldier-turned-mercenary Captain Alatriste, a heroic figure from the country's 17th century ...	807933	791	0.0009790415789
Sesame Street - 20 Pickle Pie	0hI_0vj3tP4	2006-03-03T12:21:43Z	Catchy and educational little number from the good old days of Sesame Street demonstrating math with a 20 Pickle Pie. For more ...	807784	663	0.0008207639666
Caveman - Invention of Music	tYBNoFcvcWI	2006-05-29T03:17:23Z	Behold as man discovers music!	804714	5706	0.007090717945
Fifth Gear - BMW 3 Series (E90) Review.	BCRD56bLLZw	2006-04-13T12:29:02Z	Visit our Car Channel for more cars like this: https://www.youtube.com/channel/UCUwO2YTE9GaUHWChYHtf1Ew ...	797965	938	0.001175490153
Mrs.Omokorede The Pushy Mum from the Lenny Henry Show UK	s86HnJbp2qs	2006-05-11T15:18:49Z	One of the nigerian Mum sketches I wrote and performed on The Lenny Henry Show.	797096	1908	0.002393689091
Welcome to the Forty Thieves	lm8NgB5XGIA	2006-05-28T03:09:45Z	Welcome to the Forty Thieves from Aladdin and the King of Thieves.	792883	1932	0.00243667729
Soccerplayer loses his finger	qRzHu4heNiU	2006-04-17T17:44:34Z	FC Schaffhausen vs. FC Servette Geneve. A guy was so happy. He climbed on the hedge. On the way back he losed his finger.	783540	735	0.0009380503867
David Bowie - I´m afraid of Americans (live)	QGwB_G0Vyz0	2006-05-25T17:55:39Z	Bowie live in Berlin (22 Sept 2002)	778988	6590	0.008459693859
I Won't Say Sorry (Angels and Airwaves - Start the Machine)	mWDxsEyBdCI	2006-04-23T10:01:23Z	For anyone looking for the Make You Smile video it's here: http://vimeo.com/4075174 Phase 1 Studios first film. It's a short music ...	774936	2572	0.003318983761
Toyota Yaris - Commercial	skhaeXwfh3s	2006-05-05T12:29:30Z	Toyota Yaris Commercial For more commercials like this one visit: http://falcone.wordpress.com/tag/video/	773842	1936	0.002501802694
DIMMU BORGIR - Vredesbyrd (OFFICIAL MUSIC VIDEO)	kmQgP5ouZNo	2006-05-15T10:40:37Z	Official music video for Dimmu Borgir's Vredesbyrd. Order at: http://smarturl.it/DB-DCA-NB Subscribe to Nuclear Blast YouTube: ...	773750	4176	0.005397092084
Chaves - A Festa Da Boa Vizinhança [Parte VII]	zSZz1mqPjb8	2006-05-25T13:33:44Z	PARTE 7 DE 7 Para baixar o vídeo (Compactado com WinZIP em 4 partes - Total 354 Mb) Parte 01 ...	769038	4052	0.005268920391
He's Large Shelley Duvall as Olive Oyl in Popeye	cRUa_E1CugU	2006-04-29T14:51:59Z	He's Large Performed by Shelley Duvall Written by Harry Nilsson. From the Robert Altman movie Popeye.	766020	5201	0.006789639957
Turmion Kätilöt - Vertä ja Lihaa	HISEPFnsQ-Q	2006-04-07T22:24:29Z	Cool Video.	764870	3291	0.004302691961
Hot Hot Heat - Talk To Me, Dance With Me [Remastered] (OFFICIAL VIDEO)	S-Rmz-nOJn4	2006-04-07T23:17:23Z	Talk to Me, Dance With Me (Remastered) by Hot Hot Heat From the album 'Make Up the Breakdown' Stream/Order: ...	763662	4751	0.00622133876
Black Ice - Def Poetry 2	Pff61X0E3zc	2006-03-19T17:42:59Z	Black Ice.	763080	3777	0.004949677622
JAMES WHITE NCAA SLAM DUNK 06	5ZtyZWmOLOQ	2006-04-10T19:56:05Z	JAMES WHITE NCAA SLAM DUNK CONTEST 2006 song: shakey dog - ghost face killah.	760856	562	0.0007386417404
Real GTA 3 mod	-lgu2nM4BHI	2006-05-02T22:20:49Z	Little something from the Real GTA 3 mod.Mostly just doing whatever! All cars are changed to real world cars. Real billboards ...	758706	1148	0.001513102572
aion e3 2006	U1LeEpB52o8	2006-05-11T21:21:44Z	new game online.	751184	737	0.0009811178087
Werra son - Operation Dragon	kThYwF4ryCM	2006-03-07T12:58:09Z	Werra son is one of congolese superstar, check out this clip from Operation Dragon's album. Enjoy it!!	745962	1304	0.00174807832
Skittles Commercial Believe The Rainbow	QUmXhCmVaQg	2006-05-22T03:36:55Z	SUBSCRIBE.	745418	N/A	#VALUE!
The Devil and Daniel Johnston (Trailer)	wJZOe65eA4Y	2006-03-10T21:24:34Z	This is the Trailer of the great film The Devil and Daniel Johsnton enjoy Esse é o trailer do filme The Devil and Daniel Johnston ...	742139	6815	0.009182915869
At The Drive-In - One Armed Scissor	ce0LtolCsLc	2006-03-30T21:39:25Z	At The Drive-In's seminal EP 'Vaya' is now available on hot pink vinyl in stores & online, limited to 3000 pressings worldwide.	739938	5475	0.007399268587
lisa ray	Pur1tRw2rDc	2006-05-11T15:17:35Z	movie clip.	739728	658	0.0008895161465
Gerald McBoing-Boing	uNsyQDmEopw	2006-04-16T03:49:14Z	Directed by Bobe Cannon. Created by Theador Dr. Seuss Geisel.	738479	4551	0.006162666779
Kaizers Orchestra - Knekker Deg Til Sist MUSIC VIDEO	mYrPdOCM4y0	2006-05-18T19:46:55Z	Kaizers Orchestra - Knekker Deg Til Sist Music Video for you! ^^	734440	2650	0.003608191275
Summerland 1.03 - Fireworks (Zac's Part)	b8WysJPqbYk	2006-05-15T00:47:49Z	Zac's part only! 1st episode of Summerland with Zac Efron's character Cameron. Defintely one of my favorite episodes. Guh, plus ...	723011	2096	0.002898987706
Aladdin - A Whole New World (Polish)	TINPobJVFEc	2006-05-01T21:43:43Z	The Polish version of A Whole New World from the Aladdin movie. Lyrics and translation: WSPANIAŁY ŚWIAT - A WONDERFUL ...	721652	2419	0.003352031173
Sleater-Kinney - Entertain [OFFICIAL VIDEO]	MbxRu7fwR24	2006-04-07T18:48:33Z	Sub Pop Records reissued the remastered catalog of the acclaimed American rock band, Sleater-Kinney on October 21st 2014.	715892	5763	0.008050096942
Willy Wonka-Candy Man	n-klAJGcBFE	2006-05-17T00:04:47Z	It's the new Willy Wonka to the song candy man by Aqua I think......Well cince I'm too lazy to make a video it's wolf4life's video that ...	711825	1707	0.002398061321
Cave Story Trailer	Cr0CCkH49g0	2006-04-27T22:47:29Z	A Trailer I made of Cave Story. Cave Story is a freeware game made by Pixel, who by himself took 5 years(so I hear) to create this ...	709136	1654	0.002332415785
You Got Served- Anxiety	pd7S3HCvoDQ	2006-04-04T17:56:39Z	the classic rain scene from you got served. best scene in the film. Playes Anxiety by The Black Eyed Peas.	707652	3055	0.004317093713
Fart Wars: The Empire's Ripe Crack	DKeUDT-1d7U	2006-04-19T18:14:03Z	It is a period of fart war. Rebel farters, stinking from a hidden crack, have passed their first wind against the evil Gasseous Empire.	700744	2437	0.003477732239
Daggerfall Trailer	I_MY0ihuJZc	2006-04-08T23:26:32Z	Original trailer for Bethesda's the Elder Scrolls: Daggerfall DOS game released by Bethesda in 1996. Minimum requirements were ...	700437	4767	0.006805751267
Boba Fett (Old-School)	a897FGgDJy8	2006-03-28T03:18:19Z	Boba Fett's voice in The Empire Strikes Back was originally provided by Jason Wingreen. For the DVD 'Special Edition' release, ...	698582	3715	0.005317915434
Valentine - Over and over again	extcxfqj15o	2006-03-23T08:13:45Z	Valentine - Over and over again.	694112	6696	0.009646858144
My Confession - A Phantom of the Opera music video	VW0i1zZhKKw	2006-04-30T15:47:47Z	A POTO music video featuring the song My Confession by Josh Groban Completed March 12, 2006 Just wanted to say thank ...	689487	1304	0.001891261184
Barenaked Ladies - One Week - Live	EsFjqpc-xGs	2006-03-06T23:05:38Z	Off their Barelaked Nadies DVD. Steven and Ed lead the audience in a dance, then dance with each other and finish the song in a ...	687398	2067	0.003006991583
Martin 'Marthus' Skaroupka - Live in studio (DVD 2004)	0Iic4mPndLI	2006-05-16T13:10:26Z	Follow me on Instagram: https://www.instagram.com/marthus_drummer You can order the new Inner Fear album called First Born ...	686163	3488	0.005083340256
Discworld - Long Intro	G0fd0s62Cv8	2006-05-25T04:13:38Z	This is the long intro to a short animated series based on the Discworld books by Terry Pratchett.	679204	11595	0.01707145423
New Edition - WithYouAllTheWay	TRkUgY0RVGM	2006-03-20T03:52:12Z	Ralph straight murdered this performance, even though it looks like they r lipsynching still ralph killed it.	677985	3036	0.004477975176
Sevendust - Enemy (Studio Video)	LlqY89pkqn4	2006-04-29T01:38:45Z	Studio Video from Enemy off of Sevendust's Seasons	677273	2542	0.003753287079
Smosh Merch Commercial	_1O6-7OAczo	2006-03-21T12:32:43Z	Short commercial for smosh merch. smosh.com/merch smosh.com.	676299	4799	0.007095973822
Porsche 911 (997) GT3 drifting	MXpnnjlwj7A	2006-03-28T22:04:00Z	A car magazine driver tests the Porsche 997 Gt3 and does some nice drifting in a mountain road.	669105	908	0.001357036638
Scene from Brokeback Mountain,The Horrific incident	c293gMejW3o	2006-03-18T21:33:32Z	WARNING** DO NOT WATCH THIS SCENE IF YOU HAVE NOT SCENE THE MOVIE **WARNING** This scene is by request also.	667428	2546	0.003814643677
Rachelle Ann Go - I Care	YZfDie9Dhcg	2006-05-10T06:09:18Z	I Care by Rachelle Ann Go Director: Paul Basinillo Creative Team: Denim Inc. http://www.paulalexei.com/ ...	666006	1001	0.001502989463
The Dillinger Escape Plan - Unretrofied (Official Music Video)	YKRV0zvSnvo	2006-05-16T21:02:00Z	The Dillinger Escape Plan - Unretrofied from their album 'Miss Machine' Subscribe: http://bit.ly/RelapseYouTube Order at ...	664172	5957	0.008969062231
